status,circuit_depth,circuit_width,circuit_size,circuit_count_ops,num_qubits,num_clbits,num_ancillas,num_parameters,has_calibrations,has_layout,payload_size,num_gates,execution_type,experiment_type,counts,success_rate,ibm_job_id,ibm_backend
completed,6675,9,20021,"{""x"": 4078, ""u"": 4036, ""y"": 4028, ""s"": 1995, ""sdg"": 1995, ""t"": 1934, ""tdg"": 1934, ""cx"": 9, ""h"": 8, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,10000,ibm,dynamic_payload_gates,"{""011"": 604, ""100"": 474, ""110"": 480, ""111"": 509, ""001"": 537, ""010"": 545, ""000"": 479, ""101"": 468}",0.116943359375,cz523h610wx0008bjg30,ibm_brisbane
completed,6675,9,20023,"{""y"": 4104, ""x"": 4008, ""u"": 3974, ""s"": 1998, ""sdg"": 1998, ""t"": 1960, ""tdg"": 1960, ""cx"": 9, ""h"": 8, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,10001,ibm,dynamic_payload_gates,"{""110"": 548, ""011"": 585, ""010"": 471, ""000"": 503, ""001"": 566, ""111"": 463, ""101"": 460, ""100"": 500}",0.122802734375,cz525bnh0kc00088zkp0,ibm_kyiv
completed,6677,9,20025,"{""x"": 4100, ""u"": 3988, ""y"": 3888, ""s"": 2031, ""sdg"": 2031, ""t"": 1983, ""tdg"": 1983, ""cx"": 9, ""h"": 8, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,10002,ibm,dynamic_payload_gates,"{""001"": 492, ""100"": 539, ""101"": 515, ""011"": 506, ""010"": 446, ""110"": 513, ""111"": 603, ""000"": 482}",0.11767578125,cz525m61xvhg008eabrg,ibm_brisbane
pending,6677,9,20027,"{""x"": 4078, ""y"": 4064, ""u"": 3978, ""s"": 1978, ""sdg"": 1978, ""t"": 1965, ""tdg"": 1965, ""cx"": 9, ""h"": 8, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,10003,ibm,dynamic_payload_gates,,,,
completed,6677,9,20029,"{""x"": 4082, ""u"": 4040, ""y"": 3914, ""s"": 1995, ""sdg"": 1995, ""t"": 1991, ""tdg"": 1991, ""cx"": 9, ""h"": 8, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,10004,ibm,dynamic_payload_gates,"{""000"": 527, ""001"": 573, ""010"": 576, ""100"": 451, ""111"": 481, ""011"": 612, ""101"": 433, ""110"": 443}",0.128662109375,cz52at3p6030008chpx0,ibm_kyiv
completed,6679,9,20031,"{""x"": 4102, ""u"": 4006, ""y"": 3820, ""s"": 2052, ""sdg"": 2052, ""t"": 1989, ""tdg"": 1989, ""cx"": 9, ""h"": 8, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,10005,ibm,dynamic_payload_gates,"{""000"": 490, ""101"": 517, ""011"": 524, ""110"": 484, ""001"": 547, ""111"": 535, ""010"": 490, ""100"": 509}",0.11962890625,cz52b1wp6030008chpz0,ibm_kyiv
completed,5011,11,20026,"{""u"": 3970, ""y"": 3952, ""x"": 3834, ""t"": 2081, ""tdg"": 2081, ""s"": 2041, ""sdg"": 2041, ""cx"": 11, ""h"": 10, ""measure"": 4, ""cz"": 1}",7,4,0,0,False,False,4,10000,ibm,dynamic_payload_gates,"{""1110"": 271, ""0001"": 261, ""1000"": 227, ""1111"": 239, ""0011"": 262, ""0101"": 281, ""0000"": 236, ""1101"": 262, ""1001"": 243, ""0110"": 274, ""1011"": 247, ""1010"": 264, ""0100"": 259, ""0010"": 260, ""0111"": 247, ""1100"": 263}",0.0576171875,cz52bexkvm9g008g9y20,ibm_kyiv
completed,5011,11,20028,"{""y"": 4246, ""u"": 3960, ""x"": 3876, ""s"": 2001, ""sdg"": 2001, ""t"": 1959, ""tdg"": 1959, ""cx"": 11, ""h"": 10, ""measure"": 4, ""cz"": 1}",7,4,0,0,False,False,4,10001,ibm,dynamic_payload_gates,"{""1101"": 277, ""0010"": 247, ""1000"": 263, ""0110"": 248, ""0111"": 276, ""1011"": 258, ""0101"": 239, ""1001"": 268, ""0001"": 274, ""0100"": 252, ""1110"": 241, ""0000"": 265, ""1100"": 250, ""1111"": 252, ""0011"": 241, ""1010"": 245}",0.064697265625,cz52bp61xvhg008eacn0,ibm_kyiv
completed,5011,11,20030,"{""y"": 4004, ""x"": 3978, ""u"": 3916, ""s"": 2054, ""sdg"": 2054, ""t"": 1999, ""tdg"": 1999, ""cx"": 11, ""h"": 10, ""measure"": 4, ""cz"": 1}",7,4,0,0,False,False,4,10002,ibm,dynamic_payload_gates,"{""1010"": 272, ""0100"": 278, ""1110"": 246, ""0111"": 298, ""1101"": 267, ""0101"": 258, ""0001"": 261, ""1001"": 224, ""1000"": 244, ""0000"": 228, ""1011"": 254, ""0011"": 240, ""1111"": 259, ""1100"": 251, ""0110"": 263, ""0010"": 253}",0.0556640625,cz52bxf39f40008sftxg,ibm_kyiv
completed,5011,11,20032,"{""y"": 4132, ""x"": 3956, ""u"": 3908, ""t"": 2016, ""tdg"": 2016, ""s"": 1989, ""sdg"": 1989, ""cx"": 11, ""h"": 10, ""measure"": 4, ""cz"": 1}",7,4,0,0,False,False,4,10003,ibm,dynamic_payload_gates,"{""0011"": 256, ""1111"": 257, ""0111"": 276, ""1011"": 246, ""0010"": 288, ""0000"": 237, ""1100"": 245, ""1001"": 255, ""0100"": 222, ""0110"": 274, ""0001"": 281, ""1101"": 242, ""1010"": 261, ""0101"": 232, ""1000"": 275, ""1110"": 249}",0.057861328125,cz52c481xvhg008eacr0,ibm_kyiv
completed,5013,11,20034,"{""y"": 4042, ""x"": 4000, ""u"": 3982, ""t"": 2004, ""tdg"": 2004, ""s"": 1988, ""sdg"": 1988, ""cx"": 11, ""h"": 10, ""measure"": 4, ""cz"": 1}",7,4,0,0,False,False,4,10004,ibm,dynamic_payload_gates,"{""1001"": 219, ""0101"": 254, ""1000"": 249, ""0110"": 265, ""0010"": 277, ""0111"": 254, ""0000"": 272, ""0001"": 270, ""1010"": 238, ""1100"": 244, ""1110"": 247, ""1011"": 269, ""1101"": 260, ""0011"": 272, ""1111"": 241, ""0100"": 265}",0.06640625,cz52cc110wx0008bjhd0,ibm_kyiv
completed,5013,11,20036,"{""y"": 4016, ""u"": 3990, ""x"": 3976, ""t"": 2035, ""tdg"": 2035, ""s"": 1979, ""sdg"": 1979, ""cx"": 11, ""h"": 10, ""measure"": 4, ""cz"": 1}",7,4,0,0,False,False,4,10005,ibm,dynamic_payload_gates,"{""1001"": 274, ""1101"": 244, ""1011"": 270, ""1000"": 254, ""1110"": 229, ""0101"": 267, ""1100"": 259, ""0000"": 260, ""0110"": 212, ""1010"": 250, ""0001"": 270, ""0011"": 291, ""0111"": 246, ""1111"": 254, ""0010"": 278, ""0100"": 238}",0.0634765625,cz52ck2p6030008chq9g,ibm_kyiv
